"Substrate_Reflect - RawData"
"Wavelength nm.","R%"
190.00,14.94326
191.00,13.48156
192.00,13.44174
193.00,12.69791
194.00,12.24845
195.00,11.09128
196.00,11.97285
197.00,11.98453
198.00,11.34787
199.00,11.66155
200.00,11.78766
201.00,11.71017
202.00,11.91268
203.00,12.43342
204.00,12.34685
205.00,12.21241
206.00,12.29277
207.00,12.35850
208.00,12.36037
209.00,12.47041
210.00,12.37173
211.00,12.40700
212.00,12.48233
213.00,12.35706
214.00,12.25824
215.00,12.28293
216.00,12.33611
217.00,12.14607
218.00,12.17921
219.00,12.34499
220.00,12.25116
221.00,12.09228
222.00,12.20142
223.00,12.36907
224.00,12.34343
225.00,12.36499
226.00,12.35575
227.00,12.28581
228.00,12.44835
229.00,12.43470
230.00,12.59045
231.00,12.51101
232.00,12.43365
233.00,12.61017
234.00,12.58430
235.00,12.63326
236.00,12.58697
237.00,12.74338
238.00,12.70134
239.00,12.80424
240.00,12.75302
241.00,12.74634
242.00,12.84717
243.00,12.89439
244.00,12.84396
245.00,12.95864
246.00,12.92495
247.00,12.96802
248.00,12.96281
249.00,12.99123
250.00,12.99165
251.00,13.01011
252.00,13.04702
253.00,13.03436
254.00,13.11211
255.00,13.10703
256.00,13.11949
257.00,13.09820
258.00,13.13997
259.00,13.17112
260.00,13.15342
261.00,13.17250
262.00,13.16821
263.00,13.19530
264.00,13.16161
265.00,13.19297
266.00,13.16675
267.00,13.25447
268.00,13.19197
269.00,13.22010
270.00,13.22356
271.00,13.17014
272.00,13.17134
273.00,13.20812
274.00,13.13675
275.00,13.24553
276.00,13.20249
277.00,13.15977
278.00,13.24698
279.00,13.18291
280.00,13.21604
281.00,13.20550
282.00,13.25126
283.00,13.22088
284.00,13.25817
285.00,13.23884
286.00,13.33284
287.00,13.21741
288.00,13.28472
289.00,13.28460
290.00,13.18866
291.00,13.26688
292.00,13.25673
293.00,13.22829
294.00,13.32578
295.00,13.30432
296.00,13.24838
297.00,13.25292
298.00,13.27439
299.00,13.24325
300.00,13.27767
301.00,13.24090
302.00,13.27898
303.00,13.19872
304.00,13.25140
305.00,13.27208
306.00,13.24137
307.00,13.24533
308.00,13.21070
309.00,13.16511
310.00,13.29225
311.00,13.17670
312.00,13.23878
313.00,13.24379
314.00,13.19216
315.00,13.22569
316.00,13.23134
317.00,13.19834
318.00,13.13606
319.00,13.13325
320.00,13.16345
321.00,13.15625
322.00,13.19901
323.00,13.13984
324.00,13.08844
325.00,13.16524
326.00,13.08644
327.00,13.10619
328.00,13.03816
329.00,13.05926
330.00,13.07659
331.00,13.12424
332.00,13.03912
333.00,13.05317
334.00,13.05038
335.00,13.00870
336.00,13.03474
337.00,13.04612
338.00,13.00730
339.00,13.04649
340.00,13.04584
341.00,12.97262
342.00,13.03490
343.00,12.96069
344.00,13.00044
345.00,12.97309
346.00,12.95414
347.00,12.92337
348.00,12.92868
349.00,12.93174
350.00,12.94553
351.00,12.91432
352.00,12.89225
353.00,12.93306
354.00,12.88179
355.00,12.86543
356.00,12.87526
357.00,12.86410
358.00,12.86223
359.00,12.83682
360.00,12.83709
361.00,12.79397
362.00,12.82929
363.00,12.78922
364.00,12.75486
365.00,12.74682
366.00,12.78581
367.00,12.79017
368.00,12.74727
369.00,12.74403
370.00,12.77028
371.00,12.70013
372.00,12.70332
373.00,12.70659
374.00,12.65741
375.00,12.66602
376.00,12.67319
377.00,12.66094
378.00,12.67008
379.00,12.62998
380.00,12.63215
381.00,12.64742
382.00,12.60852
383.00,12.59645
384.00,12.61317
385.00,12.58217
386.00,12.59267
387.00,12.57065
388.00,12.58968
389.00,12.54795
390.00,12.52493
391.00,12.51190
392.00,12.52021
393.00,12.51874
394.00,12.48111
395.00,12.50107
396.00,12.46816
397.00,12.46474
398.00,12.43986
399.00,12.48439
400.00,12.41482
401.00,12.44698
402.00,12.43108
403.00,12.42286
404.00,12.40244
405.00,12.38312
406.00,12.40338
407.00,12.35951
408.00,12.36857
409.00,12.34883
410.00,12.34002
411.00,12.33699
412.00,12.34276
413.00,12.34599
414.00,12.30772
415.00,12.31146
416.00,12.31741
417.00,12.28452
418.00,12.29218
419.00,12.26896
420.00,12.25296
421.00,12.26879
422.00,12.24818
423.00,12.23208
424.00,12.22180
425.00,12.18639
426.00,12.21276
427.00,12.20475
428.00,12.20118
429.00,12.18591
430.00,12.17164
431.00,12.16964
432.00,12.16285
433.00,12.16193
434.00,12.11916
435.00,12.14114
436.00,12.14801
437.00,12.14005
438.00,12.10778
439.00,12.09792
440.00,12.07360
441.00,12.06775
442.00,12.08890
443.00,12.05398
444.00,12.05012
445.00,12.05023
446.00,12.03711
447.00,12.05148
448.00,12.01558
449.00,12.01876
450.00,12.01679
451.00,12.01714
452.00,11.99748
453.00,12.01047
454.00,11.99408
455.00,11.94979
456.00,11.95966
457.00,11.95198
458.00,11.96054
459.00,11.92990
460.00,11.92313
461.00,11.91399
462.00,11.89352
463.00,11.89149
464.00,11.89272
465.00,11.87647
466.00,11.86770
467.00,11.87240
468.00,11.85218
469.00,11.85737
470.00,11.85765
471.00,11.83637
472.00,11.82190
473.00,11.82301
474.00,11.81698
475.00,11.81057
476.00,11.79820
477.00,11.80921
478.00,11.77528
479.00,11.78833
480.00,11.75373
481.00,11.74052
482.00,11.74086
483.00,11.76425
484.00,11.73931
485.00,11.71651
486.00,11.72428
487.00,11.69987
488.00,11.69686
489.00,11.69248
490.00,11.69241
491.00,11.67392
492.00,11.68125
493.00,11.66859
494.00,11.65412
495.00,11.63715
496.00,11.63192
497.00,11.63084
498.00,11.62365
499.00,11.60885
500.00,11.60518
501.00,11.59705
502.00,11.58202
503.00,11.58291
504.00,11.58118
505.00,11.56517
506.00,11.56437
507.00,11.55086
508.00,11.55298
509.00,11.52722
510.00,11.52188
511.00,11.52471
512.00,11.52032
513.00,11.48709
514.00,11.50893
515.00,11.48331
516.00,11.47169
517.00,11.46859
518.00,11.48319
519.00,11.45062
520.00,11.43935
521.00,11.44056
522.00,11.43027
523.00,11.43210
524.00,11.41625
525.00,11.40040
526.00,11.39321
527.00,11.38271
528.00,11.38056
529.00,11.37628
530.00,11.36944
531.00,11.34393
532.00,11.34757
533.00,11.33146
534.00,11.33924
535.00,11.32326
