"File_220307_155036 - RawData"
"Wavelength nm.","R%"
190.00,22.99381
191.00,21.71412
192.00,20.40766
193.00,21.12394
194.00,21.42666
195.00,20.83853
196.00,20.78757
197.00,20.20564
198.00,20.28117
199.00,20.50463
200.00,20.57049
201.00,20.44365
202.00,20.55368
203.00,20.79306
204.00,21.12694
205.00,21.42419
206.00,21.51015
207.00,21.94673
208.00,22.08454
209.00,21.67529
210.00,21.91892
211.00,22.06277
212.00,22.06862
213.00,22.22841
214.00,22.20453
215.00,21.92089
216.00,22.02389
217.00,21.92491
218.00,21.76555
219.00,21.62842
220.00,21.65418
221.00,21.58684
222.00,21.63851
223.00,21.58505
224.00,21.53978
225.00,21.46744
226.00,21.59764
227.00,21.37739
228.00,21.61003
229.00,21.60806
230.00,21.49182
231.00,21.66842
232.00,21.64969
233.00,21.72773
234.00,21.87382
235.00,21.81337
236.00,21.90325
237.00,22.02486
238.00,22.13849
239.00,22.22695
240.00,22.38118
241.00,22.56564
242.00,22.53873
243.00,22.83374
244.00,22.86484
245.00,23.00547
246.00,23.05898
247.00,23.17326
248.00,23.21548
249.00,23.38302
250.00,23.38611
251.00,23.54507
252.00,23.54160
253.00,23.58206
254.00,23.67882
255.00,23.64858
256.00,23.67191
257.00,23.73272
258.00,23.74417
259.00,23.77236
260.00,23.70126
261.00,23.65549
262.00,23.69047
263.00,23.71623
264.00,23.63106
265.00,23.63774
266.00,23.67239
267.00,23.64202
268.00,23.61704
269.00,23.55785
270.00,23.50210
271.00,23.63115
272.00,23.47956
273.00,23.47464
274.00,23.47055
275.00,23.45302
276.00,23.46528
277.00,23.40668
278.00,23.42817
279.00,23.42633
280.00,23.38366
281.00,23.51459
282.00,23.53330
283.00,23.52455
284.00,23.53646
285.00,23.57340
286.00,23.57293
287.00,23.58470
288.00,23.61130
289.00,23.63964
290.00,23.69895
291.00,23.76565
292.00,23.84277
293.00,23.78840
294.00,23.78494
295.00,23.93636
296.00,23.95312
297.00,23.85342
298.00,23.89253
299.00,23.92368
300.00,23.89349
301.00,23.99217
302.00,23.92768
303.00,23.81049
304.00,23.89670
305.00,23.96807
306.00,23.86142
307.00,23.83125
308.00,23.82628
309.00,23.83336
310.00,23.76000
311.00,23.84377
312.00,23.87790
313.00,23.92873
314.00,23.79133
315.00,23.88656
316.00,23.73738
317.00,23.72743
318.00,23.76596
319.00,23.76416
320.00,23.79045
321.00,23.77762
322.00,23.75550
323.00,23.71056
324.00,23.69831
325.00,23.73260
326.00,23.80600
327.00,23.64037
328.00,23.72878
329.00,23.76738
330.00,23.66522
331.00,23.68235
332.00,23.65211
333.00,23.66430
334.00,23.58367
335.00,23.55212
336.00,23.56881
337.00,23.64274
338.00,23.59787
339.00,23.60156
340.00,23.56890
341.00,23.57273
342.00,23.61460
343.00,23.56174
344.00,23.56258
345.00,23.56278
346.00,23.50594
347.00,23.54196
348.00,23.51714
349.00,23.44065
350.00,23.47581
351.00,23.46220
352.00,23.44010
353.00,23.49980
354.00,23.48624
355.00,23.47426
356.00,23.35386
357.00,23.33654
358.00,23.38764
359.00,23.41648
360.00,23.37019
361.00,23.41911
362.00,23.29689
363.00,23.32922
364.00,23.33741
365.00,23.29408
366.00,23.27813
367.00,23.28068
368.00,23.21767
369.00,23.20434
370.00,23.25020
371.00,23.28503
372.00,23.26136
373.00,23.17667
374.00,23.23769
375.00,23.17138
376.00,23.16969
377.00,23.10425
378.00,23.13826
379.00,23.09255
380.00,23.11387
381.00,23.07584
382.00,23.08723
383.00,23.05745
384.00,22.99851
385.00,23.07286
386.00,23.04417
387.00,23.00477
388.00,22.96890
389.00,23.00011
390.00,22.92966
391.00,22.96955
392.00,22.93312
393.00,22.87829
394.00,22.92807
395.00,22.91915
396.00,22.87390
397.00,22.86175
398.00,22.85792
399.00,22.86030
400.00,22.84405
401.00,22.85349
402.00,22.81704
403.00,22.80797
404.00,22.76942
405.00,22.79265
406.00,22.73869
407.00,22.74512
408.00,22.68266
409.00,22.74177
410.00,22.70089
411.00,22.65235
412.00,22.67780
413.00,22.69029
414.00,22.67774
415.00,22.65811
416.00,22.61786
417.00,22.59797
418.00,22.58922
419.00,22.58011
420.00,22.56502
421.00,22.54826
422.00,22.56542
423.00,22.50685
424.00,22.48014
425.00,22.48425
426.00,22.47520
427.00,22.45983
428.00,22.47763
429.00,22.44394
430.00,22.44372
431.00,22.40945
432.00,22.42138
433.00,22.40847
434.00,22.38434
435.00,22.34598
436.00,22.33284
437.00,22.35112
438.00,22.30682
439.00,22.30931
440.00,22.29743
441.00,22.28326
442.00,22.27306
443.00,22.23841
444.00,22.26450
445.00,22.20361
446.00,22.21685
447.00,22.17982
448.00,22.19045
449.00,22.17128
450.00,22.17104
451.00,22.18256
452.00,22.15272
453.00,22.13327
454.00,22.12893
455.00,22.08690
456.00,22.09498
457.00,22.09321
458.00,22.07313
459.00,22.05125
460.00,22.02148
461.00,22.00174
462.00,22.01139
463.00,21.99311
464.00,21.96821
465.00,21.94302
466.00,21.94263
467.00,21.94396
468.00,21.91597
469.00,21.89257
470.00,21.89706
471.00,21.87316
472.00,21.88358
473.00,21.85883
474.00,21.87866
475.00,21.85079
476.00,21.81078
477.00,21.79911
478.00,21.79910
479.00,21.78924
480.00,21.75729
481.00,21.75470
482.00,21.74999
483.00,21.71320
484.00,21.69911
485.00,21.67156
486.00,21.66560
487.00,21.66200
488.00,21.66412
489.00,21.64080
490.00,21.64078
491.00,21.63068
492.00,21.60513
493.00,21.59000
494.00,21.57672
495.00,21.56508
496.00,21.58752
497.00,21.52903
498.00,21.55671
499.00,21.51613
500.00,21.49477
501.00,21.49167
502.00,21.48845
503.00,21.46359
504.00,21.44603
505.00,21.45248
506.00,21.41983
507.00,21.44125
508.00,21.40213
509.00,21.41249
510.00,21.36477
511.00,21.38105
512.00,21.35811
513.00,21.34589
514.00,21.33602
515.00,21.31957
516.00,21.32428
517.00,21.31275
518.00,21.29235
519.00,21.28983
520.00,21.26730
521.00,21.24203
522.00,21.22556
523.00,21.23925
524.00,21.18784
525.00,21.20546
526.00,21.20628
527.00,21.18988
528.00,21.17758
529.00,21.18473
530.00,21.13871
531.00,21.12633
532.00,21.10086
533.00,21.12931
534.00,21.08547
535.00,21.09518
536.00,21.07719
537.00,21.07955
538.00,21.05725
539.00,21.06135
540.00,21.04644
541.00,21.03281
542.00,21.01203
543.00,21.00477
544.00,20.98866
545.00,21.01009
546.00,20.98489
547.00,20.95722
548.00,20.96206
549.00,20.93520
550.00,20.94283
551.00,20.91147
552.00,20.89913
553.00,20.91358
554.00,20.88460
555.00,20.88315
556.00,20.85688
557.00,20.85641
558.00,20.83608
559.00,20.83737
560.00,20.81283
561.00,20.82606
562.00,20.78752
563.00,20.78737
564.00,20.76482
565.00,20.75106
566.00,20.74019
567.00,20.73096
568.00,20.72003
569.00,20.71610
570.00,20.70043
571.00,20.68453
572.00,20.68370
573.00,20.65733
574.00,20.64388
575.00,20.62265
576.00,20.62122
577.00,20.60533
578.00,20.60173
579.00,20.57965
580.00,20.56756
581.00,20.56834
582.00,20.53768
583.00,20.55186
584.00,20.51156
585.00,20.50528
586.00,20.48283
587.00,20.49975
588.00,20.47376
589.00,20.45552
590.00,20.44920
591.00,20.45105
592.00,20.44073
593.00,20.43362
594.00,20.41097
595.00,20.40425
596.00,20.36908
597.00,20.36842
598.00,20.37583
599.00,20.37216
600.00,20.34162
601.00,20.33152
602.00,20.34396
603.00,20.33032
604.00,20.28817
605.00,20.29896
606.00,20.29322
607.00,20.27499
608.00,20.25785
609.00,20.26438
610.00,20.24292
611.00,20.23302
612.00,20.23452
613.00,20.18414
614.00,20.19019
615.00,20.16903
616.00,20.16905
617.00,20.18948
618.00,20.15628
