"SubstrateTrans - RawData"
"Wavelength nm.","T%"
190.00,60.15995
191.00,56.63419
192.00,58.29119
193.00,56.29947
194.00,54.70995
195.00,54.76178
196.00,53.41710
197.00,53.51216
198.00,54.38387
199.00,53.83005
200.00,54.70216
201.00,54.81051
202.00,54.45942
203.00,54.65261
204.00,55.03029
205.00,54.88011
206.00,54.84952
207.00,54.88870
208.00,55.30829
209.00,55.10013
210.00,55.14787
211.00,55.14808
212.00,55.25444
213.00,55.50715
214.00,55.19402
215.00,55.19028
216.00,55.11118
217.00,55.17460
218.00,54.87336
219.00,54.56369
220.00,54.51779
221.00,54.41148
222.00,54.29906
223.00,54.46597
224.00,54.39830
225.00,54.59377
226.00,54.42531
227.00,54.48899
228.00,54.92643
229.00,54.71619
230.00,54.55346
231.00,54.99210
232.00,54.99817
233.00,55.05283
234.00,55.11604
235.00,55.28173
236.00,55.42392
237.00,55.59912
238.00,55.80652
239.00,56.06220
240.00,56.10750
241.00,56.36053
242.00,56.42722
243.00,56.44193
244.00,56.78818
245.00,56.94735
246.00,57.01309
247.00,57.33699
248.00,57.47285
249.00,57.66185
250.00,57.80748
251.00,57.90434
252.00,58.07295
253.00,58.05779
254.00,58.05672
255.00,58.39492
256.00,58.45513
257.00,58.38097
258.00,58.60589
259.00,58.55375
260.00,58.78636
261.00,58.68940
262.00,58.70840
263.00,58.81678
264.00,58.74501
265.00,58.77837
266.00,58.63498
267.00,58.79571
268.00,58.60002
269.00,58.65032
270.00,58.78867
271.00,58.68680
272.00,58.72797
273.00,58.77907
274.00,58.69300
275.00,58.76811
276.00,59.02556
277.00,59.08828
278.00,59.09493
279.00,58.91982
280.00,59.16249
281.00,59.20690
282.00,59.28094
283.00,59.23694
284.00,59.40068
285.00,59.33863
286.00,59.49644
287.00,59.57041
288.00,59.72733
289.00,59.73716
290.00,59.79221
291.00,59.84434
292.00,60.21330
293.00,60.22698
294.00,60.15401
295.00,60.42385
296.00,60.23701
297.00,60.28158
298.00,60.36706
299.00,60.62442
300.00,60.44511
301.00,60.63434
302.00,60.61301
303.00,60.57695
304.00,60.63067
305.00,60.83518
