"SubstrateTransOtherSide - RawData"
"Wavelength nm.","T%"
190.00,76.83964
191.00,78.21116
192.00,73.26733
193.00,72.47649
194.00,70.17245
195.00,69.55492
196.00,70.05067
197.00,69.26337
198.00,67.76128
199.00,67.03489
200.00,69.06454
201.00,68.53856
202.00,67.79497
203.00,69.11078
204.00,68.72503
205.00,68.43742
206.00,68.79747
207.00,68.77717
208.00,69.74009
209.00,69.92318
210.00,69.55986
211.00,69.60438
212.00,69.54620
213.00,69.69258
214.00,69.26906
215.00,69.38341
216.00,69.01882
217.00,68.83188
218.00,68.17316
219.00,68.37031
220.00,68.13247
221.00,68.12129
222.00,68.25596
223.00,67.86387
224.00,67.87734
225.00,67.95447
226.00,67.83001
227.00,67.64004
228.00,67.64542
229.00,67.72137
230.00,67.72355
231.00,67.84361
232.00,67.87623
233.00,68.23412
234.00,68.32611
235.00,68.60476
236.00,68.76777
237.00,68.64551
238.00,68.96577
239.00,69.23193
240.00,69.27664
241.00,69.33817
242.00,69.48984
243.00,69.76286
244.00,69.86953
245.00,70.08961
246.00,70.37699
247.00,70.40035
248.00,70.77759
249.00,70.85247
250.00,70.90985
251.00,71.09862
252.00,71.16687
253.00,71.18222
254.00,71.39154
255.00,71.37173
256.00,71.62759
257.00,71.50092
258.00,71.49479
259.00,71.82845
260.00,71.86577
261.00,71.66226
262.00,71.73089
263.00,71.66351
264.00,71.64691
265.00,71.79624
266.00,71.82220
267.00,71.87338
268.00,71.76769
269.00,71.82503
270.00,71.72765
271.00,71.90230
272.00,71.82963
273.00,72.03530
274.00,71.72816
275.00,71.82838
276.00,71.95227
277.00,71.80241
278.00,71.88137
279.00,72.09346
280.00,72.07356
281.00,72.07737
282.00,72.05747
283.00,72.03761
284.00,72.24507
285.00,72.51958
286.00,72.42586
287.00,72.84611
288.00,72.67570
289.00,72.66582
290.00,72.74086
291.00,72.98492
292.00,72.88981
293.00,72.99650
294.00,73.03096
295.00,73.07819
296.00,73.15395
297.00,73.09449
298.00,73.33767
299.00,73.33868
300.00,73.47792
301.00,73.26337
302.00,73.42337
303.00,73.33288
304.00,73.52573
305.00,73.93728
306.00,73.52336
307.00,73.63350
308.00,73.70849
309.00,73.85420
310.00,73.80481
311.00,73.96767
312.00,74.00379
313.00,73.86025
314.00,73.85271
315.00,74.05001
316.00,74.01527
317.00,74.05769
318.00,74.04358
319.00,74.08165
320.00,74.08423
321.00,73.99730
322.00,74.05728
323.00,74.17488
324.00,74.08719
325.00,74.06755
326.00,74.18169
327.00,74.32072
328.00,74.35327
329.00,74.43799
330.00,74.35797
331.00,74.32224
332.00,74.44727
333.00,74.41173
334.00,74.52096
335.00,74.68003
336.00,74.63896
337.00,74.55624
338.00,74.46681
339.00,74.43262
340.00,74.67453
341.00,74.55354
342.00,74.57144
343.00,74.54867
344.00,74.69821
345.00,74.72311
346.00,74.77974
347.00,74.73097
348.00,74.73416
349.00,74.86148
350.00,74.87677
351.00,74.86446
352.00,74.85951
353.00,74.92340
354.00,74.89296
355.00,74.90716
356.00,74.84287
357.00,74.89734
358.00,74.84161
359.00,74.89404
360.00,75.06682
361.00,75.10617
362.00,74.98778
363.00,74.90669
364.00,74.95219
365.00,75.05641
366.00,75.01585
367.00,75.04061
368.00,75.01231
369.00,74.99720
370.00,75.09414
371.00,75.20678
372.00,75.04542
373.00,75.06419
374.00,75.21049
375.00,75.21569
376.00,75.04506
377.00,75.20134
378.00,75.12934
379.00,75.12481
380.00,75.27162
381.00,75.13770
382.00,75.16379
383.00,75.16544
384.00,75.21859
385.00,75.28290
386.00,75.24500
387.00,75.29300
388.00,75.28276
389.00,75.19960
390.00,75.34276
391.00,75.22426
392.00,75.36874
393.00,75.38953
394.00,75.43952
395.00,75.37611
396.00,75.43491
397.00,75.39539
398.00,75.48214
399.00,75.41433
400.00,75.53626
401.00,75.49365
402.00,75.48615
403.00,75.47618
404.00,75.50883
405.00,75.57300
406.00,75.58296
407.00,75.63153
408.00,75.61899
409.00,75.63558
410.00,75.67250
411.00,75.63472
412.00,75.56475
413.00,75.68099
414.00,75.69870
415.00,75.71323
416.00,75.71509
417.00,75.70348
418.00,75.69845
419.00,75.68522
420.00,75.77667
421.00,75.71886
422.00,75.80956
423.00,75.71342
424.00,75.74713
425.00,75.71859
426.00,75.80978
427.00,75.80013
428.00,75.74966
429.00,75.85789
430.00,75.79479
431.00,75.82562
432.00,75.87169
433.00,75.81551
434.00,75.85255
435.00,75.86356
436.00,75.85840
437.00,75.86914
438.00,75.84099
439.00,75.95375
440.00,75.93160
441.00,75.88534
442.00,75.92198
443.00,75.96081
444.00,75.99031
445.00,75.96836
446.00,76.02571
447.00,75.99745
448.00,76.00682
449.00,76.00588
450.00,75.98956
451.00,75.96000
452.00,76.02656
453.00,76.02963
454.00,76.12190
455.00,76.06881
456.00,76.06395
457.00,76.14973
458.00,76.04767
459.00,76.06075
460.00,76.07011
461.00,76.15060
462.00,76.19086
463.00,76.14515
464.00,76.15663
465.00,76.18575
466.00,76.22443
467.00,76.17307
468.00,76.13794
469.00,76.17195
470.00,76.20127
471.00,76.22583
472.00,76.20503
473.00,76.23142
474.00,76.22892
475.00,76.16708
476.00,76.19756
477.00,76.19072
478.00,76.30210
479.00,76.24615
480.00,76.27357
481.00,76.30695
482.00,76.33296
483.00,76.29651
484.00,76.28989
485.00,76.35660
486.00,76.35185
487.00,76.30674
488.00,76.38850
489.00,76.32891
490.00,76.35829
491.00,76.37343
492.00,76.38496
493.00,76.36008
494.00,76.41732
495.00,76.45342
496.00,76.43697
497.00,76.45328
498.00,76.44730
499.00,76.45643
500.00,76.45351
501.00,76.47949
502.00,76.47809
503.00,76.48721
504.00,76.49404
505.00,76.46252
506.00,76.51356
507.00,76.47951
508.00,76.50670
509.00,76.50574
510.00,76.53344
511.00,76.51053
512.00,76.60073
513.00,76.58256
514.00,76.56385
515.00,76.54235
516.00,76.53171
517.00,76.57896
518.00,76.58889
519.00,76.56819
520.00,76.63047
521.00,76.56797
522.00,76.58353
523.00,76.63670
524.00,76.64726
525.00,76.64011
526.00,76.66790
527.00,76.64696
528.00,76.68205
529.00,76.62485
530.00,76.65732
531.00,76.72856
532.00,76.71261
533.00,76.72371
534.00,76.65485
535.00,76.71109
536.00,76.75572
537.00,76.74403
538.00,76.74496
539.00,76.77467
540.00,76.77870
