"File_220307_155558 - RawData"
"Wavelength nm.","R%"
190.00,11.35386
191.00,11.62616
192.00,10.15474
193.00,10.50818
194.00,10.44136
195.00,10.51237
196.00,11.02675
197.00,11.39977
198.00,10.81107
199.00,11.60618
200.00,11.90954
201.00,12.17237
202.00,12.56077
203.00,13.04900
204.00,13.23916
205.00,13.16608
206.00,13.41459
207.00,13.43688
208.00,13.36559
209.00,13.11075
210.00,13.06443
211.00,12.82697
212.00,12.67707
213.00,12.41001
214.00,12.40558
215.00,12.24829
216.00,12.41787
217.00,12.18522
218.00,11.84044
219.00,11.64911
220.00,11.24870
221.00,11.08491
222.00,10.91602
223.00,11.00973
224.00,11.20610
225.00,11.31572
226.00,11.63615
227.00,11.86267
228.00,12.14378
229.00,12.45048
230.00,12.63570
231.00,12.88332
232.00,13.07658
233.00,13.49487
234.00,13.71815
235.00,13.80019
236.00,14.09487
237.00,14.24132
238.00,14.48468
239.00,14.54619
240.00,14.78652
241.00,14.93708
242.00,15.05664
243.00,15.28115
244.00,15.35816
245.00,15.40883
246.00,15.54415
247.00,15.67007
248.00,15.76709
249.00,15.80905
250.00,15.96149
251.00,15.98120
252.00,15.97907
253.00,16.10796
254.00,16.21393
255.00,16.16666
256.00,16.25962
257.00,16.38455
258.00,16.31259
259.00,16.50890
260.00,16.44574
261.00,16.44531
262.00,16.62841
263.00,16.59397
264.00,16.68623
265.00,16.63931
266.00,16.74039
267.00,16.75789
268.00,16.83422
269.00,16.91009
270.00,16.99868
271.00,16.97295
272.00,16.94760
273.00,17.06120
274.00,17.07424
275.00,17.18644
276.00,17.22525
277.00,17.26186
278.00,17.27903
279.00,17.30213
280.00,17.33200
281.00,17.42121
282.00,17.47875
283.00,17.48275
284.00,17.48714
285.00,17.66233
286.00,17.62816
287.00,17.71030
288.00,17.75921
289.00,17.85408
290.00,17.91631
291.00,17.91806
292.00,17.99453
293.00,18.07434
294.00,18.09122
295.00,18.20838
296.00,18.21355
297.00,18.31121
298.00,18.30260
299.00,18.31677
300.00,18.38517
301.00,18.44941
302.00,18.46529
303.00,18.46023
304.00,18.55074
305.00,18.50611
306.00,18.45762
307.00,18.48481
308.00,18.54591
309.00,18.58048
310.00,18.55917
311.00,18.60040
312.00,18.65078
313.00,18.72125
314.00,18.78965
315.00,18.78271
316.00,18.80303
317.00,18.78151
318.00,18.75183
319.00,18.89599
320.00,18.79559
321.00,18.89046
322.00,18.88215
323.00,18.91792
324.00,18.91579
325.00,18.88782
326.00,18.95887
327.00,19.01200
328.00,18.90202
329.00,18.98937
330.00,18.99197
331.00,19.01017
332.00,19.03054
333.00,18.94579
334.00,18.99979
335.00,18.97444
336.00,19.01371
337.00,19.00799
338.00,18.97770
339.00,18.98533
340.00,19.03348
341.00,19.07762
342.00,19.03109
343.00,18.98756
344.00,19.02428
345.00,19.04794
346.00,18.94153
347.00,18.99545
348.00,18.96428
349.00,18.95274
350.00,19.01866
351.00,18.99628
352.00,18.89834
353.00,18.92543
354.00,18.93276
355.00,18.97064
356.00,18.96787
357.00,18.89246
358.00,18.93590
359.00,18.92372
360.00,18.96468
361.00,18.97026
362.00,18.95094
363.00,18.90187
364.00,18.90874
365.00,18.90636
366.00,18.90083
367.00,18.85517
368.00,18.85732
369.00,18.85016
370.00,18.86003
371.00,18.86838
372.00,18.94567
373.00,18.85092
374.00,18.83326
375.00,18.81841
376.00,18.83204
377.00,18.85468
378.00,18.83259
379.00,18.81831
380.00,18.82454
381.00,18.82607
382.00,18.78868
383.00,18.79266
384.00,18.79883
385.00,18.76516
386.00,18.79406
387.00,18.79674
388.00,18.76191
389.00,18.79764
390.00,18.78313
391.00,18.75481
392.00,18.76062
393.00,18.76784
394.00,18.82007
395.00,18.76932
396.00,18.76768
397.00,18.75672
398.00,18.73306
399.00,18.75188
400.00,18.74848
401.00,18.75198
402.00,18.72210
403.00,18.73276
404.00,18.71401
405.00,18.72225
406.00,18.74407
407.00,18.74084
408.00,18.69027
409.00,18.72652
410.00,18.73674
411.00,18.68933
412.00,18.70174
413.00,18.70118
414.00,18.67531
415.00,18.70088
416.00,18.69830
417.00,18.68917
418.00,18.70438
419.00,18.65799
420.00,18.68475
421.00,18.66061
422.00,18.65157
423.00,18.65539
424.00,18.65314
425.00,18.64346
426.00,18.65015
427.00,18.65299
428.00,18.66233
429.00,18.61834
430.00,18.65623
431.00,18.62454
432.00,18.65559
433.00,18.61574
434.00,18.62084
435.00,18.60014
436.00,18.62033
437.00,18.59823
438.00,18.58573
439.00,18.61621
440.00,18.60510
441.00,18.62614
442.00,18.59650
443.00,18.59083
444.00,18.61157
445.00,18.58074
446.00,18.57779
447.00,18.56690
448.00,18.57716
449.00,18.57339
450.00,18.56627
451.00,18.56912
452.00,18.56230
453.00,18.56381
454.00,18.54706
455.00,18.54026
456.00,18.56141
457.00,18.53936
458.00,18.52411
459.00,18.54763
460.00,18.54693
461.00,18.55259
462.00,18.52729
463.00,18.51434
464.00,18.54285
465.00,18.49938
466.00,18.51602
467.00,18.51089
468.00,18.52998
469.00,18.50363
470.00,18.50062
471.00,18.50238
472.00,18.48872
473.00,18.49277
474.00,18.49108
475.00,18.47550
476.00,18.46380
477.00,18.47756
478.00,18.45691
479.00,18.44569
480.00,18.43293
481.00,18.45670
482.00,18.43808
483.00,18.42867
484.00,18.43059
485.00,18.42852
486.00,18.42057
487.00,18.40748
488.00,18.39660
489.00,18.39555
490.00,18.41735
491.00,18.39148
492.00,18.37020
493.00,18.39414
494.00,18.37846
495.00,18.38295
496.00,18.38116
497.00,18.34346
498.00,18.36488
499.00,18.35966
500.00,18.34324
501.00,18.36364
502.00,18.34977
503.00,18.33637
504.00,18.34848
505.00,18.32654
506.00,18.31953
507.00,18.31536
508.00,18.31590
509.00,18.30224
510.00,18.30806
511.00,18.27486
512.00,18.27697
513.00,18.28368
514.00,18.28410
515.00,18.26999
516.00,18.26548
517.00,18.28058
518.00,18.25450
519.00,18.27489
520.00,18.23739
521.00,18.25555
522.00,18.22199
523.00,18.23621
524.00,18.22508
525.00,18.21818
526.00,18.21274
527.00,18.20564
528.00,18.20851
529.00,18.20546
530.00,18.17245
531.00,18.19223
532.00,18.19315
533.00,18.17937
534.00,18.16658
535.00,18.17058
536.00,18.16429
537.00,18.17378
538.00,18.14595
539.00,18.12567
540.00,18.15495
541.00,18.11692
542.00,18.13682
543.00,18.12442
544.00,18.11233
545.00,18.11562
546.00,18.09623
547.00,18.09304
548.00,18.08870
549.00,18.09272
550.00,18.07289
551.00,18.07289
552.00,18.05877
553.00,18.04583
554.00,18.04183
555.00,18.03256
556.00,18.01586
557.00,18.02596
558.00,18.03410
559.00,18.02195
560.00,18.01161
561.00,18.02256
562.00,17.98858
563.00,17.98542
564.00,17.97415
565.00,17.98589
566.00,17.95217
567.00,17.96125
568.00,17.93552
569.00,17.95592
570.00,17.94778
571.00,17.93068
572.00,17.90259
573.00,17.90827
574.00,17.91347
575.00,17.88661
576.00,17.87938
577.00,17.85915
578.00,17.85667
579.00,17.86765
580.00,17.84103
581.00,17.83804
582.00,17.80986
583.00,17.85073
584.00,17.80200
585.00,17.81537
586.00,17.80657
587.00,17.78619
588.00,17.77992
589.00,17.76670
590.00,17.77497
591.00,17.77759
592.00,17.76513
593.00,17.73962
594.00,17.73157
595.00,17.74013
596.00,17.71946
597.00,17.70955
598.00,17.72637
599.00,17.71195
600.00,17.70794
601.00,17.71101
602.00,17.69673
603.00,17.68667
604.00,17.67099
605.00,17.67772
606.00,17.66396
607.00,17.64941
608.00,17.65699
609.00,17.61682
610.00,17.61433
611.00,17.60941
612.00,17.61086
613.00,17.62857
614.00,17.58705
615.00,17.58543
616.00,17.56553
617.00,17.57335
618.00,17.57322
619.00,17.56676
620.00,17.53404
621.00,17.55045
622.00,17.50797
623.00,17.52611
624.00,17.52595
625.00,17.49243
626.00,17.51288
627.00,17.48439
628.00,17.46111
629.00,17.46853
630.00,17.46145
631.00,17.45175
632.00,17.42419
633.00,17.45055
634.00,17.43068
635.00,17.42295
636.00,17.42242
637.00,17.41063
638.00,17.38593
639.00,17.38967
640.00,17.40390
641.00,17.37068
642.00,17.36396
643.00,17.37421
644.00,17.32912
645.00,17.33800
646.00,17.31155
647.00,17.32718
648.00,17.30013
649.00,17.28679
650.00,17.28225
651.00,17.27428
652.00,17.28145
653.00,17.28455
654.00,17.25952
655.00,17.24277
656.00,17.24158
657.00,17.27751
658.00,17.21558
659.00,17.21776
660.00,17.22468
661.00,17.22854
662.00,17.18948
663.00,17.18348
664.00,17.17362
665.00,17.13510
666.00,17.14648
667.00,17.14861
668.00,17.14476
669.00,17.11856
670.00,17.11248
671.00,17.10381
672.00,17.10997
673.00,17.08854
674.00,17.04970
675.00,17.05857
676.00,17.04796
677.00,17.07584
678.00,17.06133
679.00,17.04222
680.00,17.03590
681.00,17.01395
682.00,16.97381
683.00,17.01584
684.00,16.97053
685.00,16.97029
686.00,16.96990
687.00,16.96026
688.00,16.91234
689.00,16.93365
690.00,16.91929
691.00,16.88097
692.00,16.92163
693.00,16.89247
694.00,16.90346
695.00,16.92113
696.00,16.88804
697.00,16.88204
698.00,16.84672
699.00,16.84306
700.00,16.85789
