"hbn106Trans - RawData"
"Wavelength nm.","T%"
190.00,13.13723
191.00,11.01787
192.00,10.06952
193.00,9.03171
194.00,8.33676
195.00,7.73476
196.00,7.15023
197.00,6.99368
198.00,6.52588
199.00,6.45656
200.00,6.09004
201.00,5.98410
202.00,5.63095
203.00,5.38269
204.00,5.21124
205.00,4.81706
206.00,4.66426
207.00,4.45232
208.00,4.26015
209.00,4.12867
210.00,4.09522
211.00,4.16001
212.00,4.56595
213.00,5.49519
214.00,7.19124
215.00,9.46500
216.00,12.42758
217.00,15.69321
218.00,18.77649
219.00,21.95265
220.00,24.93150
221.00,27.09263
222.00,29.17513
223.00,31.02885
224.00,32.24036
225.00,33.27447
226.00,34.41561
227.00,35.17962
228.00,36.15066
229.00,36.68709
230.00,37.31600
231.00,38.09534
232.00,38.64347
233.00,39.26717
234.00,39.81504
235.00,40.42120
236.00,41.01727
237.00,41.59978
238.00,42.27832
239.00,42.84934
240.00,43.39157
241.00,44.02552
242.00,44.84249
243.00,45.24006
244.00,46.11435
245.00,46.70030
246.00,47.30588
247.00,47.79702
248.00,48.41255
249.00,49.09471
250.00,49.68117
251.00,50.30232
252.00,50.90358
253.00,51.48201
254.00,51.90153
255.00,52.49367
256.00,52.86581
257.00,53.32162
258.00,53.99830
259.00,54.29835
260.00,54.81885
261.00,55.06302
262.00,55.53943
263.00,55.96433
264.00,56.32319
265.00,56.68842
266.00,56.75420
267.00,57.21068
268.00,57.43091
269.00,57.66643
270.00,58.01040
271.00,58.13161
272.00,58.56345
273.00,58.66296
274.00,59.02195
275.00,59.21520
276.00,59.53658
277.00,59.76062
278.00,60.01162
279.00,60.03116
280.00,60.34608
281.00,60.38547
282.00,60.71022
283.00,60.81716
284.00,61.14171
285.00,61.16179
286.00,61.57498
287.00,61.48262
288.00,61.78146
289.00,61.96886
290.00,62.10104
291.00,62.25213
292.00,62.41876
293.00,62.71116
294.00,62.70533
295.00,62.69581
296.00,63.02499
297.00,63.04417
298.00,63.22152
299.00,63.52183
300.00,63.45509
301.00,63.44893
302.00,63.74751
303.00,63.64517
304.00,63.72854
305.00,63.94078
306.00,64.02647
307.00,64.18871
308.00,64.28771
309.00,64.29030
310.00,64.32207
311.00,64.48971
312.00,64.56496
313.00,64.65413
314.00,64.67399
315.00,64.87207
316.00,64.92943
317.00,64.91197
318.00,64.86926
319.00,65.11382
320.00,65.18022
321.00,65.29863
322.00,65.41045
323.00,65.37579
324.00,65.44113
325.00,65.40034
326.00,65.69564
327.00,65.71304
328.00,65.82047
329.00,65.84972
330.00,65.67816
331.00,65.72628
332.00,65.78194
333.00,66.03901
334.00,65.94312
335.00,65.91489
336.00,66.20220
337.00,66.04208
338.00,66.08797
339.00,66.25228
340.00,66.16738
341.00,66.17359
342.00,66.19771
343.00,66.31482
344.00,66.40816
345.00,66.32717
346.00,66.37009
347.00,66.59577
348.00,66.62874
349.00,66.34445
350.00,66.50583
351.00,66.60335
352.00,66.64228
353.00,66.57938
354.00,66.62657
355.00,66.51005
356.00,66.68274
357.00,66.73901
358.00,66.82162
359.00,66.75638
360.00,66.87877
361.00,66.83947
362.00,66.89195
363.00,66.86655
364.00,66.86691
365.00,66.98090
366.00,66.90124
367.00,66.88737
368.00,67.00360
369.00,66.98910
370.00,66.89403
371.00,66.93980
372.00,66.91887
373.00,67.16719
374.00,67.03227
375.00,67.07197
376.00,67.20260
377.00,67.18656
378.00,67.13014
379.00,67.12721
380.00,67.13551
381.00,67.23626
382.00,67.20790
383.00,67.28576
384.00,67.22165
385.00,67.33696
386.00,67.32940
387.00,67.25698
388.00,67.37886
389.00,67.35285
390.00,67.40394
391.00,67.41352
392.00,67.41545
393.00,67.43120
394.00,67.46570
395.00,67.45197
396.00,67.44077
397.00,67.50674
398.00,67.50444
399.00,67.51489
400.00,67.50191
401.00,67.49145
402.00,67.51621
403.00,67.50360
404.00,67.53085
405.00,67.56622
406.00,67.56429
407.00,67.57404
408.00,67.61916
409.00,67.63845
410.00,67.59760
411.00,67.62730
412.00,67.63063
413.00,67.56933
414.00,67.64300
415.00,67.62848
416.00,67.67129
417.00,67.75216
418.00,67.66227
419.00,67.69135
420.00,67.70736
421.00,67.75292
422.00,67.78589
423.00,67.75427
424.00,67.73371
425.00,67.78388
426.00,67.79110
427.00,67.74308
428.00,67.77173
429.00,67.72050
430.00,67.81249
431.00,67.78877
432.00,67.83206
433.00,67.81547
434.00,67.88689
435.00,67.81174
436.00,67.86244
437.00,67.82529
438.00,67.79964
439.00,67.85455
440.00,67.89319
441.00,67.92150
442.00,67.80645
443.00,67.85148
444.00,67.86116
445.00,67.87173
446.00,67.85839
447.00,67.89938
448.00,67.92832
449.00,67.95805
450.00,67.93540
451.00,67.90730
452.00,67.94766
453.00,67.96325
454.00,67.93627
455.00,67.89622
456.00,67.98266
457.00,68.02462
458.00,67.93448
459.00,67.95540
460.00,68.02186
461.00,68.02578
462.00,67.95742
463.00,67.95479
464.00,67.99268
465.00,67.99586
466.00,68.03592
467.00,68.00855
468.00,68.02307
469.00,68.00091
470.00,68.05693
471.00,68.04125
472.00,67.98257
473.00,68.06294
474.00,68.03452
475.00,68.08290
476.00,68.07318
477.00,68.04048
478.00,68.03849
479.00,68.12250
480.00,68.15754
481.00,68.12526
482.00,68.11836
483.00,68.15821
484.00,68.18878
485.00,68.15258
486.00,68.16036
487.00,68.18950
488.00,68.18218
489.00,68.22773
490.00,68.18106
491.00,68.16429
492.00,68.22941
493.00,68.22479
494.00,68.23049
495.00,68.17257
496.00,68.20685
497.00,68.24647
498.00,68.25881
499.00,68.27642
500.00,68.28262
501.00,68.23401
502.00,68.28726
503.00,68.29583
504.00,68.28249
505.00,68.20967
506.00,68.32559
507.00,68.28551
508.00,68.30173
509.00,68.37040
510.00,68.28803
511.00,68.36598
512.00,68.38016
513.00,68.31343
514.00,68.34314
515.00,68.35405
516.00,68.36196
517.00,68.37972
518.00,68.36326
519.00,68.38564
520.00,68.39870
521.00,68.45261
522.00,68.40376
523.00,68.38886
524.00,68.42177
525.00,68.43647
526.00,68.39330
527.00,68.44776
528.00,68.44999
529.00,68.47069
530.00,68.39910
531.00,68.49476
532.00,68.45904
533.00,68.53483
534.00,68.51954
535.00,68.54923
536.00,68.49671
537.00,68.45558
538.00,68.48750
539.00,68.49188
540.00,68.49488
541.00,68.53163
542.00,68.59162
543.00,68.51563
544.00,68.56964
545.00,68.53829
546.00,68.61692
547.00,68.53626
548.00,68.59553
549.00,68.61725
550.00,68.65463
551.00,68.61653
552.00,68.68299
553.00,68.64150
554.00,68.60439
555.00,68.66138
556.00,68.68657
557.00,68.64462
558.00,68.68628
559.00,68.71167
560.00,68.67440
561.00,68.64350
562.00,68.65468
563.00,68.67906
564.00,68.75476
565.00,68.69614
566.00,68.70449
567.00,68.73658
568.00,68.72385
569.00,68.79779
570.00,68.73522
571.00,68.79137
