"hbn106TransOtherSide - RawData"
"Wavelength nm.","T%"
190.00,13.12835
191.00,9.75845
192.00,8.90476
193.00,7.80515
194.00,7.60012
195.00,7.08528
196.00,6.85440
197.00,6.60523
198.00,6.48288
199.00,6.23459
200.00,6.04918
201.00,6.02348
202.00,5.83088
203.00,6.01804
204.00,5.69387
205.00,5.51880
206.00,5.35551
207.00,5.27512
208.00,5.19503
209.00,5.13648
210.00,5.01400
211.00,5.11605
212.00,5.38996
213.00,6.24236
214.00,8.00507
215.00,10.64838
216.00,14.20168
217.00,18.12643
218.00,21.85190
219.00,25.67619
220.00,28.99545
221.00,31.77881
222.00,34.34161
223.00,36.08608
224.00,37.81824
225.00,39.18738
226.00,40.12726
227.00,41.42693
228.00,42.17731
229.00,43.11140
230.00,44.06210
231.00,44.76428
232.00,45.57719
233.00,46.43763
234.00,47.36491
235.00,48.09766
236.00,48.90720
237.00,49.52478
238.00,50.40600
239.00,51.23481
240.00,52.06489
241.00,52.61357
242.00,53.55229
243.00,54.36388
244.00,55.03780
245.00,56.00449
246.00,56.65272
247.00,57.32135
248.00,58.08002
249.00,58.76235
250.00,59.39624
251.00,59.93109
252.00,60.76737
253.00,61.33952
254.00,62.06602
255.00,62.44628
256.00,62.97026
257.00,63.51399
258.00,63.91326
259.00,64.48165
260.00,64.88010
261.00,65.34438
262.00,65.68364
263.00,66.27697
264.00,66.47379
265.00,66.88466
266.00,67.31156
267.00,67.51497
268.00,67.81074
269.00,67.95171
270.00,68.50523
271.00,68.72821
272.00,68.76664
273.00,69.42924
274.00,69.39586
275.00,69.71623
276.00,69.94808
277.00,70.17564
278.00,70.24801
279.00,70.53772
280.00,70.54223
281.00,70.84255
282.00,70.86926
283.00,71.08040
284.00,71.41325
285.00,71.80250
286.00,71.90786
287.00,72.12156
288.00,72.29333
289.00,72.23451
290.00,72.50530
291.00,72.92005
292.00,72.85262
293.00,73.23842
294.00,73.23973
295.00,73.29988
296.00,73.59434
297.00,73.60663
298.00,73.63694
299.00,73.94045
300.00,73.97885
301.00,73.98678
302.00,74.14168
303.00,74.05712
304.00,74.46153
305.00,74.74564
306.00,74.57516
307.00,74.85357
308.00,75.00513
309.00,75.16572
310.00,75.12879
311.00,75.32687
312.00,75.30776
313.00,75.54793
314.00,75.35154
315.00,75.58514
316.00,75.71986
317.00,75.86505
318.00,75.83979
319.00,76.03932
320.00,76.16270
321.00,76.09591
322.00,76.07277
323.00,76.33664
324.00,76.37073
325.00,76.41159
326.00,76.51778
327.00,76.61267
328.00,76.67141
329.00,76.68749
330.00,76.81217
331.00,76.73994
332.00,76.85416
333.00,76.83128
334.00,76.94300
335.00,76.84192
336.00,77.15766
337.00,77.13287
338.00,76.94966
339.00,76.99034
340.00,77.39748
341.00,77.20648
342.00,77.32413
343.00,77.30982
344.00,77.38560
345.00,77.39447
346.00,77.49343
347.00,77.34807
348.00,77.35998
349.00,77.68233
350.00,77.57158
351.00,77.57289
352.00,77.64794
353.00,77.65224
354.00,77.67769
355.00,77.75471
356.00,77.55497
357.00,77.79167
358.00,77.72581
359.00,77.79957
360.00,77.98591
361.00,77.93021
362.00,77.97614
363.00,77.84797
364.00,77.78761
365.00,78.16344
366.00,77.87314
367.00,77.94149
368.00,77.94293
369.00,77.96038
370.00,78.07244
371.00,78.09431
372.00,78.09195
373.00,78.18138
374.00,78.13553
375.00,78.16336
376.00,78.13699
377.00,78.12021
378.00,78.20312
379.00,78.27776
380.00,78.23246
381.00,78.11422
382.00,78.25514
383.00,78.22184
384.00,78.26908
385.00,78.30979
386.00,78.35301
387.00,78.32956
388.00,78.28797
389.00,78.39335
390.00,78.43795
391.00,78.38585
392.00,78.40338
393.00,78.47695
394.00,78.39607
395.00,78.50221
396.00,78.51900
397.00,78.43484
398.00,78.47510
399.00,78.52560
400.00,78.58453
401.00,78.61715
402.00,78.55036
403.00,78.51654
404.00,78.60634
405.00,78.62280
406.00,78.58996
407.00,78.74230
408.00,78.69592
409.00,78.70373
410.00,78.67655
411.00,78.63151
412.00,78.69198
413.00,78.74972
414.00,78.63540
415.00,78.71380
416.00,78.74178
417.00,78.77656
418.00,78.74985
419.00,78.69602
420.00,78.75692
421.00,78.77122
422.00,78.75776
423.00,78.79854
424.00,78.77927
425.00,78.65975
426.00,78.87008
427.00,78.90067
428.00,78.82397
429.00,78.84889
430.00,78.84514
431.00,78.77571
432.00,78.86854
433.00,78.84331
434.00,78.89731
435.00,78.84015
436.00,78.81981
437.00,78.82131
438.00,78.86208
439.00,78.91179
440.00,78.83058
441.00,78.89237
442.00,78.88505
443.00,78.88727
444.00,78.93221
445.00,78.93814
446.00,78.89456
447.00,78.89254
448.00,78.91583
449.00,78.84923
450.00,78.87046
451.00,78.83344
452.00,78.91773
453.00,78.94417
454.00,78.96264
455.00,78.94971
456.00,79.01289
457.00,78.94646
458.00,78.85890
459.00,78.94413
460.00,78.94188
461.00,78.95929
462.00,79.02180
463.00,79.00500
464.00,78.94382
465.00,78.99435
466.00,79.01211
467.00,78.98301
468.00,78.99387
469.00,78.91995
470.00,78.93631
471.00,78.95871
472.00,79.01399
473.00,78.97845
474.00,79.03923
475.00,78.96988
476.00,78.99597
477.00,78.99510
478.00,79.07155
479.00,79.07559
480.00,79.04109
481.00,79.11717
482.00,79.09294
483.00,79.06644
484.00,79.03554
485.00,79.08818
486.00,79.06130
487.00,79.05496
488.00,79.06947
489.00,79.04997
490.00,79.06559
491.00,79.09701
492.00,79.06137
493.00,79.08949
494.00,79.12690
495.00,79.18994
496.00,79.14503
497.00,79.14247
498.00,79.14341
499.00,79.12810
500.00,79.09892
501.00,79.10990
502.00,79.18738
503.00,79.19296
504.00,79.18280
505.00,79.15852
506.00,79.15296
507.00,79.11636
508.00,79.14410
509.00,79.13132
510.00,79.12760
511.00,79.16700
512.00,79.20388
513.00,79.21177
514.00,79.20168
515.00,79.26537
516.00,79.24734
517.00,79.22608
518.00,79.20957
519.00,79.24510
520.00,79.24931
521.00,79.25320
522.00,79.20431
523.00,79.30967
524.00,79.27139
525.00,79.25212
526.00,79.25581
527.00,79.28614
528.00,79.27215
529.00,79.23999
530.00,79.24593
531.00,79.25894
532.00,79.35616
533.00,79.28179
534.00,79.24095
535.00,79.32030
536.00,79.32026
537.00,79.28841
538.00,79.32417
539.00,79.33393
540.00,79.31215
541.00,79.30418
542.00,79.33682
543.00,79.32197
544.00,79.31985
545.00,79.34208
546.00,79.38069
547.00,79.38511
548.00,79.40837
549.00,79.35186
550.00,79.38734
551.00,79.37567
552.00,79.40736
553.00,79.39492
554.00,79.39327
555.00,79.44526
556.00,79.45330
557.00,79.40559
558.00,79.41258
559.00,79.43491
560.00,79.46230
561.00,79.45319
562.00,79.43665
563.00,79.42375
564.00,79.45711
565.00,79.45442
566.00,79.54029
567.00,79.44213
568.00,79.44013
569.00,79.45063
570.00,79.51615
